Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,iron
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-013-1,8/1/12,7/28/12,,N,,,,,,,,,,,,,,,,,0.506
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-013-1,10/19/12,10/16/12,,N,0.7,5.59,7.07,5,2.5,0.02,0.32,0.48,0.0025,0.195,0.001,,,,,,
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-018-1A,5/1/12,4/26/12,,N,0.7,5.1,6.7,13,2.5,0.04,0.46,0.11,0.006,0.042,0.003,,,,,,0.34
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-018-1A,8/1/12,7/28/12,,N,,,,,,,,,,,,,,,,,2.51
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-018-1A,10/19/12,10/16/12,,N,0.7,5.59,7.18,5,2.5,0.03,0.29,1.23,0.01,0.163,0.001,,,,,,
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound- Jordan Cove,,1430,4911,Y,DSN 005,4/22/12,4/12/12,,N,2.1,4.7,7,56.5,12.3,6.37,51.8,3.57,0.073,0.653,0.009,,,,,,0.552
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 005,10/19/12,10/16/12,,N,0.5,4.7,7.3,41.4,7.6,3.66,14.1,1.41,0.013,0.2,0.0025,100.00%,100.00%,24,157,85.00%,
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 007A,4/22/12,4/12/12,,N,1.2,4.7,7.2,22,18.8,0.44,3.28,0.005,0.01,0.177,0.0025,,,,,,0.259
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 007A,5/1/12,4/27/12,,N,,4.6,6.7,,,,,,,,,,,,,,0.131
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 007A,10/19/12,10/16/12,,N,0.5,4.7,7.6,10.5,8,0.86,1.47,0.36,0.005,0.192,0.0025,100.00%,70.70%,8,30,0.00%,
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 009,4/22/12,4/12/12,,N,0.5,4.7,7,24.8,1.25,0.21,2.34,1.85,0.015,0.434,0.0025,,,,,,0.113
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 009,10/19/12,10/16/12,,N,1.9,4.7,6.4,33.8,25.8,0.88,4.36,0.6,0.011,0.377,0.009,100.00%,100.00%,16,280,90.00%,1.728
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 009,2/19/13,2/14/13,,Y,,,,,,, ,,,,,,,,,,0.815
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 011,4/22/12,4/12/12,,N,0.5,4.7,8,16.4,5.4,0.21,0.52,0.35,0.0025,0.017,0.008,,,,,,1.76
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 011,10/19/12,10/16/12,,N,0.5,4.7,7.9,3.7,2.6,0.06,0.24,0.7,0.0025,0.018,0.0025,100.00%,100.00%,76,408,100.00%,0.223
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 012,4/22/12,4/12/12,,N,1.6,4.7,6.9,51.3,20,0.2,1.82,1.14,0.018,0.33,0.0025,,,,,,0.745
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 012,10/19/12,10/16/12,,N,2.4,4.7,6.8,26.6,18,0.14,0.56,0.23,0.008,0.137,0.0025,100.00%,100.00%,6,25,100.00%,1.158
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 012,1/11/13,1/6/13,,Y,,,,,,,,,,,,,,,,,2.181
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 012A,4/22/12,4/12/12,,N,0.5,4.7,7.2,36.3,12.7,0.35,2.36,0.84,0.016,0.085,0.005,,,,,,0.67
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 012A,10/19/12,10/16/12,,N,0.5,4.7,6.5,8.6,1.25,0.09,0.45,0.21,0.0025,0.016,0.0025,100.00%,100.00%,4,27,100.00%,
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 015,4/22/12,4/12/12,,N,1.8,4.7,7.2,75.3,33.6,4.35,35.8,2.94,0.051,0.442,0.007,,,,,,1.63
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 015,10/19/12,10/16/12,,N,1.6,4.7,7.2,25.9,8.6,0.89,8.58,0.48,0.008,0.085,0.0025,100.00%,100.00%,12,86,100.00%,0.343
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 015,2/19/13,2/14/13,,Y,,,,,,,,,,,,,,,,,0.283
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 016,4/22/12,4/12/12,,N,1.7,4.7,7.1,163,12.1,1.53,11.5,1.8,0.035,0.34,0.01,,,,,,0.663
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 016,10/19/12,10/16/12,,N,1,4.7,7.9,37.7,7.6,1.42,12.9,0.64,0.013,0.066,0.0025,100.00%,100.00%,22,175,100.00%,
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 020A,4/22/12,4/12/12,,N,0.5,4.7,8.5,1,1.25,0.03,0.26,1.89,0.005,0.005,0.0025,,,,,,0.085
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 020A,10/19/12,10/16/12,,N,0.5,4.7,6.9,1,1.25,0.04,0.44,2.47,0.007,0.005,0.0025,100.00%,100.00%,26,260,100.00%,
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 022,4/22/12,4/12/12,,N,1.2,4.7,6.7,27,12.1,0.17,2.24,1.02,0.007,0.683,0.0025,,,,,,0.32
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 022,10/19/12,10/16/12,,N,0.5,4.7,5.2,7.3,8.3,0.06,0.48,0.18,0.0025,0.415,0.0025,93.90%,40.60%,2,15,0.00%,
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 024,4/22/12,4/12/12,,N,1.8,4.7,5.4,61.6,31.8,0.2,3.11,1.49,0.03,0.14,0.0025,,,,,,2.67
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 024,10/19/12,10/16/12,,N,5.9,4.7,6.7,37.4,44.9,0.08,0.83,0.21,0.013,0.078,0.0025,100.00%,100.00%,4,19,80.00%,1.438
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 024,1/11/13,1/6/13,,Y,,,,,,,,,,,,,,,,,4.626
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 027,4/22/12,4/12/12,,N,0.5,4.7,6.8,31.8,3.8,1.12,11.2,0.02,0.008,0.234,0.0025,,,,,,0.846
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 027,10/19/12,10/16/12,,N,1.9,4.7,7,34.4,11.5,0.76,9.08,0.29,0.009,0.482,0.0025,100.00%,73.10%,8,106,10.00%,0.541
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 030,4/22/12,4/12/12,,N,1.9,4.7,6.9,16,54.3,0.49,1.02,0.3,0.013,0.255,0.0025,,,,,,2.47
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 030,10/19/12,10/16/12,,N,0.5,4.7,4.5,8.6,5.1,0.11,0.54,0.17,0.0025,0.14,0.0025,100.00%,70.70%,4,22,0.00%,0.23
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 032,4/22/12,4/12/12,,N,1.2,4.7,7.4,14.3,9.5,0.15,0.8,0.19,0.008,0.033,0.0025,,,,,,0.251
F,"Dominion Nuclear CT., Inc.",Millstone Power Station,152,Long Island Sound - Jordan Cove,,1430,4911,Y,DSN 032,10/19/12,10/16/12,,N,0.5,4.7,6.4,38.1,3.6,0.28,0.7,0.16,0.0025,0.028,0.0025,100.00%,100.00%,10,51,100.00%,
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,Y,DSN 011,12/18/12,12/1/12,,N,0.7,,6.8,15,2.5,0.04,0.6,0.58,0.006,0.091,0.003,100.00%,100.00%,28,295,100.00%,0.613
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,Y,DSN 029,12/18/12,12/1/12,,N,0.7,,7.61,53,6.5,0.24,1.22,0.005,0.022,0.013,0.012,100.00%,100.00%,28,342,100.00%,0.799
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,Y,DSN 035,12/18/12,12/1/12,,N,0.7,,6.9,15,2.5,0.07,0.53,0.005,0.008,0.092,0.005,100.00%,100.00%,26,286,100.00%,0.63
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 002,5/1/12,4/23/12,,N,0.5,7.58,5.52,11.3,17,0.38,1.16,0.21,0.032,0.153,0.009,,,,,,1.21
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 002,10/19/12,10/16/12,,N,0.5,6.45,6.29,3.7,7,0.14,0.59,0.05,0.01,0.105,0.001,100.00%,100.00%,156.2,1670,100.00%,
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 005,5/1/12,4/23/12,,N,0.5,7.58,7.4,44.4,203,0.48,1.68,1.17,0.031,0.145,0.014,,,,,,9.77
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 005,10/19/12,10/16/12,,N,0.5,6.35,7.08,28.9,86,0.19,0.39,0.5,0.012,0.076,0.008,100.00%,100.00%,107.1,774,85.00%,3.29
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 005,2/27/13,2/23/13,,Y,,,,,,,,,,,,,,,,,2.29
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S04,5/15/12,5/9/12,,N,0.5,7.35,6.3,15,3,0.07,0.68,0.19,0.006,0.032,0.003,,,,,,0.36
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S04,11/27/12,11/23/12,,N,1.2,7.22,7.03,2.6,19,0.12,0.83,0.4,0.023,0.127,0.006,100.00%,100.00%,27.77,112,100.00%,0.65
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S05,5/15/12,5/9/12,,N,0.5,7.35,6.25,15,5,0.09,0.76,0.19,0.005,0.03,0.004,,,,,,0.37
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S05,11/27/12,11/23/12,,N,2,7.5,6.95,22.2,14,0.06,0.47,0.38,0.01,0.04,0.007,100.00%,100.00%,6.94,63,100.00%,0.51
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S06,11/27/12,11/23/12,,N,1.6,7.22,7.13,44.4,123,0.4,1.17,0.64,0.039,0.088,0.041,100.00%,100.00%,90.26,532,100.00%,2.7
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S06,2/27/13,2/23/13,,Y,,6.4,7.34,,,,,,,,,,,,,,3.43
F,Milford Power Company LLC,Milford Power Company LLC,84,Housatonic River,,1726,4911,N,DIS002,5/1/12,4/27/12,,N,0.7,7.33,,27,83,0.2,0.91,0.45,0.027,0.067,0.024,100.00%,100.00%,34,253,100.00%,2.56
F,Milford Power Company LLC,Milford Power Company LLC,84,Housatonic River,,1726,4911,N,DIS002,10/2/12,9/29/12,,N,1.8,7.05,,61,240,0.44,3.32,0.38,0.033,0.062,0.01,,,,,,12.6
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 001,9/18/12,9/8/12,,N,1,7.1,7.6,5,8,0.025,0.59,0.59,0.005,0.24,0.182,100.00%,100.00%,52,165,100.00%,0.83
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 004,9/18/12,9/8/12,,N,1,7.4,6.2,11,21,0.025,1.11,0.67,0.005,0.015,0.015,100.00%,100.00%,17,81,75.00%,0.36
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 007,9/18/12,9/8/12,,N,1,7.1,6.7,17,2,0.025,1.06,0.8,0.005,0.036,0.015,100.00%,100.00%,9,55,100.00%,0.37
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 009,9/18/12,9/8/12,,N,1,7.1,7.5,5,0.5,0.025,0.38,0.05,0.005,0.015,0.015,100.00%,100.00%,458,929,100.00%,0.17
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 010,9/18/12,9/8/12,,N,1,7.1,7.9,5,24,0.025,0.22,0.74,0.023,0.159,0.015,100.00%,100.00%,66,185,100.00%,8.57
F,United Illuminating Co. Ops. Facility,United Illuminating Co.,107,Indian River/South Central Western Complex Regional Basin,,2514,4911,N,1,3/12/13,3/8/12,,Y,5.9,5.5,7.4,54,246,0.28,1.2,0.35,0.039,0.639,0.015,70.70%,53.60%,148,5460,0.00%,11.3
F,United Illuminating Co. Ops. Facility,United Illuminating Co.,107,Indian River/South Central Western Complex Regional Basin,,2514,4911,N,2,3/12/13,3/8/13,,Y,1,5.5,6.3,22,122,0.025,0.49,2.44,0.027,0.825,0.015,100.00%,100.00%,459,3500,80.00%,4.24
F,United Illuminating Co. Ops. Facility,United Illuminating Co.,107,Indian River/South Central Western Complex Regional Basin,,2514,4911,N,3,3/12/13,3/8/13,,Y,1,5.5,6.7,22,20,0.025,0.44,0.05,0.013,0.141,0.015,100.00%,100.00%,27,2810,70.00%,0.45
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 001,3/12/13,3/8/13,,Y,1,7.1,7.3,5,4,0.025,0.16,0.05,0.011,0.015,0.015,100.00%,100.00%,32,180,100.00%,0.3
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 004,3/12/13,3/8/13,,Y,1,7.1,6.7,5,3,0.025,0.4,0.27,0.012,0.015,0.015,100.00%,100.00%,11,172,100.00%,1.23
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 007,3/12/13,3/8/13,,Y,1,7.1,6.9,14,12,0.025,0.44,0.46,0.005,0.015,0.015,100.00%,100.00%,64,521,100.00%,0.97
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 009,3/12/13,3/8/13,,Y,1,7.1,7.5,5,3,0.025,0.05,0.22,0.018,0.015,0.015,100.00%,100.00%,140,607,100.00%,0.25
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 010,3/12/13,3/8/13,,Y,1,7.1,8.2,5,17,0.025,0.18,0.3,0.269,0.077,0.015,14.90%,6.25%,11,322,0.00%,1.57
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,,DSN 011,5/8/13,5/1/13,,N,0.7,,7.04,75,130,0.28,1.54,0.16,0.029,0.053,0.038,100.00%,100.00%,30,257,100.00%,5.51
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,Y,DSN 029,5/8/13,5/1/13,,N,0.7,,6,92,130,0.4,2.68,0.66,0.031,0.102,0.031,100.00%,100.00%,38,243,100.00%,4.76
F,Norwalk Power LLC,Norwalk Harbor Station,103,Long Island Sound,,1472,4911,Y,DSN 035,5/8/13,5/1/13,,N,0.7,,7,103,130,0.29,2.65,0.16,0.029,0.099,0.03,100.00%,100.00%,30,115,100.00%,4.05
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S04,5/8/13,4/20/13,,N,0.5,9.23,6.87,92.1,56,0.29,1.56,0.51,0.022,0.172,0.028,,,,,,
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S05,5/8/13,4/20/13,,N,0.5,9.23,6.98,124.5,149,0.39,2.07,0.75,0.028,0.291,0.013,,,,,,
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S06,5/8/13,4/20/13,,N,0.5,9.23,7.22,674,69,0.36,2.21,0.4,0.018,0.066,0.012,,,,,,1.27
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-018-1A,4/28/13,4/20/13,,N,0.7,5.3,6.2,111,250,0.41,2.92,0.36,0.148,1.18,0.054,91.70%,35.10%,10,52,0.00%,
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-013-1,5/8/13,4/20/13,,N,0.7,5.3,7.3,129,180,0.29,2.34,0.51,0.29,0.099,0.024,79.10%,67.30%,28,103,20.00%,
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-006-1,5/8/13,4/20/13,,N,1.5,5.3,6.8,88,68,0.38,4.02,0.72,0.081,0.366,0.074,100.00%,82.00%,10,59,30.00%,
F,Middletown Power LLC,Middletown Station,83,Connecticut River,,1428,4911,Y,DSN-004-1,6/27/13,6/18/13,,N,0.7,4.3,6.99,5,2.5,0.1,0.47,0.005,0.0025,0.001,0.001,100.00%,75.20%,64,153,15.00%,
F,Bridgeport Energy,Bridgeport Energy,15,Bridgeport Harbor,,1119,4911,Y,MH-1,5/8/13,4/20/13,,N,1,7.4,7.6,8.3,23,0.08,0.93,0.24,0.057,0.03,0.015,30.80%,30.80%,2190,13,0.00%,1.93
F,Bridgeport Energy,Bridgeport Energy,15,Bridgeport Harbor,,1119,4911,Y,SC-1,5/8/13,4/20/13,,N,2.2,7.4,6.3,43,34,0.11,0.95,0.21,0.022,0.244,0.015,100.00%,100.00%,11,51,100.00%,
F,Montville Power LLC,Montiville Station,86,Thames River,,1406,4911,Y,Discharge 028,6/3/13,5/24/13,10,N,,,,,,,,,,,,,,,,,1.43
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 005,5/8/13,4/20/13,,N,0.5,9.23,7.77,58.5,34,0.18,1.14,0.44,0.01,0.055,0.001,,,,,,1.15
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 002,5/8/13,4/20/13,,N,0.5,9.23,7.28,58.5,164,0.56,1.89,0.61,0.028,0.118,0.001,,,,,,
F,CDECCA,CDECCA,64,Park River,4400,231,4911,Y,Fuel Oil Outfall #3 SD,5/23/13,5/22/13,,N,,,,,,,,,,,,,,,,,0.66
F,Dominion Nuclear CT Inc,Millstone Power Station,152,Long-Island Sound - Jordan Cove,,1430,4911,Y,DSN 009,8/13/13,8/9/13,,N,,,,,,,,,,,,,,,,,0.24
F,Dominion Nuclear CT Inc,Millstone Power Station,152,Long-Island Sound - Jordan Cove,,1430,4911,Y,DSN 012,8/13/13,8/9/13,,N,,,,,,,,,,,,,,,,,0.141
F,Dominion Nuclear CT Inc,Millstone Power Station,152,Long-Island Sound - Jordan Cove,,1430,4911,Y,DSN 015,7/10/13,7/1/13,,N,,,,,,,,,,,,,,,,,
F,Dominion Nuclear CT Inc,Millstone Power Station,152,Long-Island Sound - Jordan Cove,,1430,4911,Y,DSN 016,8/13/13,8/9/13,,N,,,,,,,,,,,,,,,,,
F,Dominion Nuclear CT Inc,Millstone Power Station,152,Long-Island Sound - Jordan Cove,,1430,4911,Y,DSN 024,8/13/13,8/9/13,,N,,,,,,,,,,,,,,,,,7.121
F,Dominion Nuclear CT Inc,Millstone Power Station,152,Long-Island Sound - Jordan Cove,,1430,4911,Y,DSN 032,7/10/13,7/1/13,,N,,,,,,,,,,,,,,,,,
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 005,7/23/13,7/11/13,,N,,,,,,,,,,,,,,,,,0.75
F,United Illuminating Co. Ops. Facility,United Illuminating Co.,107,Indian River / South Central Western Complex Regional Basin,,2514,4911,N,1,6/17/13,6/14/13,,N,,,,,,,,,,,,,,,,,1.49
F,United Illuminating Co. Ops. Facility,United Illuminating Co.,107,Indian River / South Central Western Complex Regional Basin,,2514,4911,N,2,6/17/13,6/14/13,,N,,,,,,,,,,,,,,,,,0.63
F,United Illuminating Co. Ops. Facility,United Illuminating Co.,107,Indian River / South Central Western Complex Regional Basin,,2514,4911,N,3,6/17/13,6/14/13,,N,,,,,,,,,,,,,,,,,0.68
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S06,7/23/13,7/13/13,,N,,6.43,6.95,655,336,,,,,,,,,,,,2.79
F,Bridgeport Energy,Bridgeport Energy ,15,Bridgeport Harbor,,1119,4911,Y,MH-1,8/22/13,8/13/13,,N,,,,,,,,,,,,,,,,,35.2
F,Bridgeport Energy,Bridgeport Energy ,15,Bridgeport Harbor,,1119,4911,Y,SC-1,8/22/13,8/13/13,,N,1,4.8,7.1,40,39,0.14,1.81,1.1,0.005,0.015,0.015,,,,,,
F,Capital District Energy Center,Capital District Energy Center,64,Park River,4400,1947,4931,Y,Outfall #2 -West Roof Drain,9/2/13,,,N,0.5,5.67,5.9,8.6,0.5,0.025,0.44,0.1,0.01,0.12,0.01,,,,,,
F,Capital District Energy Center,Capital District Energy Center,64,Park River,4400,1947,4932,Y,Outfall #3 - Fuel Oil UST Area,9/2/13,,,N,0.5,5.68,7.83,38.8,24,0.09,0.67,0.1,0.02,0.005,0.01,,,,,,3.68
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 001,12/21/11,12/8/11,,N,,6.9,,,,,,,,,,,,,,,0.54
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 004,12/21/11,12/8/11,,N,,6.9,,,,,,,,,,,,,,,69.1
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 007,12/21/11,12/8/11,,N,,6.9,,,,,,,,,,,,,,,2.06
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 009,12/21/11,12/8/11,,N,,6.9,,,,,,,,,,,,,,,0.005
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 010,12/21/11,12/8/11,,N,,6.9,,,,,,,,,,,,,,,0.404
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 001,6/25/12,6/22/12,,N,,7.1,,,,,,,,,,,,,,,0.087
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 004,6/25/12,6/22/12,,N,,7.1,,,,,,,,,,,,,,,0.644
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 007,6/25/12,6/22/12,,N,,7.1,,,,,,,,,,,,,,,0.382
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 009,6/25/12,6/22/12,,N,,7.1,,,,,,,,,,,,,,,0.053
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 010,6/25/12,6/22/12,,N,,7.1,,,,,,,,,,,,,,,0.455
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 004,12/21/12,12/18/12,,N,,7,,,,,,,,,,,,,,,0.192
F,NAES Kleen Energy Systems,"NAES-KES,LLC",83,Connecticut River,,2393,4911,Y,DSN 010,12/21/12,12/18/12,,N,,7,,,,,,,,,,,,,,,0.243
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S06,10/7/13,9/22/13,,N,,7.35,7.55,3.7,64,,,,,,,,,,,,0.35
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S06,3/12/14,2/21/14,,N,,6.35,7.44,,,,,,,,,,,,,,1.09
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S04,4/15/14,4/8/14,,N,,,,,,,,,,,,,,,,,
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S05,4/15/14,4/8/14,,N,,,,,,,,,,,,,,,,,
F,PSEG Power Connecticut LLC,Bridgeport Harbor Station,15,Bridgeport Harbor,,1601,4911,Y,DSN S06,4/15/14,4/8/14,,N,,6.45,7.3,1515,30,,,,,,,,,,,,
F,PSEG Power Connecticut LLC,New Haven Harbor Station,93,New Haven Harbor,,1600,4911,Y,DSN 005,3/12/14,2/19/14,,N,,6.35,,,,,,,,,,,,,,,1.28
F,Capital District Energy Center,Capital District Energy Center,64,Park River,,1947,4931,Y,Outfall #3- Fuel Oil UST Area,3/12/14,2/21/14,,N,,,,,,,,,,0.145,,,,,,,5.35
F,Montville Power LLC,Montville Station,86,Thames River,,1406,4911,Y,Discharge 026,3/12/13,2/27/13,,N,0.7,6.2,7.6,19,2.5,0.03,0.5,0.71,0.057,0.183,0.023,100.00%,70.70%,24,128,0.00%,0.212
