NAME,rwater,TOWN,BASIN,GSI,SIC,Municipalities,samp_location,samp_date,storm_mag,storm_dur,prev_storm,rain_ph,days_last_storm,o_n_g,samp_ph,cod,tss,tp,tkn,no3,fec_coli,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness
Okay Industries,,89,,434,3460,N,Basin #1,8/28/97,1.5,1,8/21/97,3.85,7,5,4.8,20,3,0.05,1,0.5,50,0.04,0.074,0.005,0.71,0.71,
Cablewave Systems,Quinnipiac River,101,,244,3357,N,Outfall #3,8/28/97,0.3,2,8/24/97,6.8,4,1,4.6,10,44,0.1,2.2,0.7,"60,000",0.02,0.08,0.01,0.74,0.52,
Cablewave Systems,Quinnipiac River,101,,244,3357,N,Outfall #1,8/28/97,0.3,2,8/24/97,6.8,4,1,4.7,38,174,0.03,1.4,0.5,190,0.1,0.19,0.05,1,0.71,
Cablewave Systems,Quinnipiac River,101,,244,3357,N,Outfall #2,8/28/97,0.3,2,8/24/97,6.8,4,1,4.4,19,8,0.04,2.2,0.7,"2,500",0.03,0.13,0.02,0.68,0.5,
Safety-Kleen Corp.,swale to Mill Brook,109,,615,7390,Y,Rip Rap,8/13/97,1.05,13,8/9/97,4.1,4,1,3.5,100,100,0.2,5.1,4.3,9,0.034,1,0.026,0.71,0.62,
Washington Concrete Pdts,Quinnipiac River,110,,441,3272,N,Outfall #1,8/13/97,0.25,3,8/10/97,7.2,3,2,9.5,33,730,1.97,2.2,1.1,140,0.08,0.15,0.02,1,1,
Washington Concrete Pdts,Quinnipiac River,110,,441,3272,N,Outfall #4,8/13/97,0.25,3,8/10/97,7.2,3,1,8.8,44,614,1.43,2.5,2.8,"37,000",0.06,0.11,0.02,1,1,
Sikorsky Aircraft,trib to Farmill River,126,,769,3728,N,Shelton 3-001,6/26/97,0.13,1,6/22/97,4.36,4,2.8,5.03,35,40,0.27,2.8,1.5,175,0.03,0.35,0.012,1,0.66,
Sikorsky Aircraft,trib to Farmill River,126,,769,3728,N,Shelton 3-002,6/26/97,0.13,1,6/22/97,4.36,4,4.4,6.74,53,131,0.17,2.4,0.4,545,0.05,0.328,0.025,1,1,
Redland Brick,Bancroft Brook,132,,545,3251,N,DSN 001,8/28/97,1.5,4,8/25/97,8.6,3,2.8,7.9,7,12,0.04,1.1,0.1,0,0.01,0.01,0.005,1,1,
Redland Brick,Bancroft Brook,132,,545,3251,N,DSN 004,8/28/97,1.5,4,8/25/97,8.6,3,4.6,7,43,646,0.95,1.1,0.4,0,0.02,0.2,0.018,1,1,
Waterbury Buckle,,151,,1012,3965,N,,8/3/97,2,4,7/16/97,,18,5,4,33,3,0.03,1.12,0.4,10,0.01,1.49,0.03,0.52,0.38,
Waterbury Buckle,,151,,1012,3965,N,,8/3/97,2,4,7/16/97,,18,5,4.2,29,9,0.04,0.78,0.4,"1,100",0.03,0.13,0.03,0.48,0.38,
Waterbury Buckle,,151,,1012,3965,N,,8/13/97,1,6,8/3/97,,10,5,4,18,17,0.04,0.72,0.5,350,0.02,0.09,0.03,0.52,0.39,
Webster's Used Auto Parts,,111,,1122,7549,Y,SW1,8/20/97,1.5,5,8/18/97,4.1,2,2.8,6.5,2,12,0.26,0.64,0.8,"6,000",0.03,0.07,0.019,1,1,
Webster's Used Auto Parts,,111,,1122,7549,Y,SW2,8/20/97,1.5,5,8/18/97,4.1,2,1.7,6.3,10,139,0.14,0.5,0.7,"3,900",0.017,0.13,0.043,1,1,
Torrington Scrap Metal,trib to Naugatuck River,143,,366,5093,Y,TS-SW1,8/20/97,1.5,5,8/18/97,4.1,2,1.8,6.5,2,1,0.14,0.5,0.6,100,0.005,0.02,0.001,0.86,0.5,
Waterbury Companies,Naugatuck River,151,,404,3469,N,Roof SP#2,8/28/97,0.34,2.5,8/21/97,4.65,7,1,3.21,38,9,0.05,2.94,2.1,100,0.26,1.7,0.12,0.06,0.06,
Atlantic Equipment Installers,,148,,897,3446,Y,CB #1,8/13/97,,,,,,1.8,4.57,120,11,0.27,4.1,2.4,300,0.21,3.1,0.131,0.09,0.07,
The Carby Corp,Naugatuck River,153,,162,3965,N,swale(front of Bldg),8/13/97,0.7,0.3,8/3/97,3.43,10,1,3.76,59,18,0.05,2.4,2.3,"7,800",0.01,1.95,0.02,0.21,0.19,
The Carby Corp,Naugatuck River,153,,162,3965,N,swale(rear of Bldg),8/13/97,0.7,0.3,8/3/97,3.43,10,1,5.11,216,43,0.14,1.1,2.8,"28,000",0.04,0.25,0.02,0.08,0.08,
Warren Mueller,Quinnebaug River,109,,642,3357,N,Outfall E,8/13/97,0.5,4,8/9/97,8,4,1.1,7.2,51,28,0.12,1.4,0.6,"10,000",0.024,0.17,0.05,1,1,
United Abrasives,brook to Natchaug,163,,695,3291,N,"4""drain pipe@brook",8/13/97,0.8,8,8/9/97,4.6,4,5,6.4,5,2,0.11,0.43,1.6,10,0.01,0.03,0.03,1,1,
United Abrasives,brook to Natchaug,163,,695,3291,N,"24""drain pipe@brook",8/13/97,0.8,8,8/9/97,4.6,4,5,5.8,41,5,0.05,3.97,2.2,140,0.01,0.52,0.03,1,0.48,
United Abrasives,brook to Natchaug,163,,695,3291,N,drain pipe@brook,8/13/97,0.8,8,8/9/97,4.6,4,5,4.4,9,1,0.03,1.85,0.7,10,0.01,0.11,0.03,1,0.77,
Timothy A.& Hildegard K.Lynch,Norwalk River,161,,779,3272,Y,Driveway,9/11/97,0.2,1.5,8/28/97,7.3,14,1.9,6.6,47,554,3.08,3.9,0.2,"10,000",0.031,0.031,0.019,1,1,
Lender's Bagel Bakery,Quinnipiac River,93,,710,2051,N,LD-1,6/13/97,0.58,4,6/2/97,5.73,11,4.8,6,119,84,0.21,4,2.9,"5,600",0.207,2.961,0.055,0.59,0.2,
Lender's Bagel Bakery,Quinnipiac River,93,,710,2051,N,T-1,6/13/97,0.58,4,6/2/97,5.73,11,3.6,5.9,100,46,0.18,3.6,2.1,300,0.216,0.8,0.04,1,0.92,
Town of Groton ,Eccleston and Fort Hill Brooks,59,,609,4953,Y,Flanders Rd,5/9/97,0.22,9,5/6/97,,3,5,7,76,37,0.14,1.18,0.3,"1,700",0.03,0.12,0.03,1,1,
Town of Groton ,Red Brook,59,,610,4953,Y,Welles Road,5/9/97,0.22,9,5/6/97,,3,5,5.2,38,65,0.07,0.9,0.2,10,0.01,0.06,0.03,1,1,
Tilcon Connecticut,,110,,573,3272,N,Plainville-North 001,6/18/97,0.55,3.5,5/19/97,7.48,30,2.8,7.73,1,1,0.05,0.8,0.1,5,0.01,0.024,0.002,1,1,
Tilcon Connecticut,,110,,573,3272,N,Plainville-North 002,6/18/97,0.55,3.5,5/19/97,7.48,30,2.8,7.9,1,110,0.21,0.8,0.1,135,0.02,0.3,0.002,1,1,
Tilcon Connecticut,,110,,579,3272,N,Plainville 001-C,6/18/97,0.55,3.5,5/19/97,7.48,30,4.4,7.34,19,58,0.47,1,0.3,55,0.1,0.053,0.003,0.3,0.25,
Tilcon Connecticut,,110,,579,3272,N,"Plainville-South 002,003,004",6/18/97,0.55,3.5,5/19/97,7.48,30,3.2,7.43,1,15,0.05,1.5,0.5,440,0.011,0.021,0.002,1,1,
Tilcon Connecticut,,110,,579,3272,N,Plainville-South 001,6/18/97,0.55,3.5,5/19/97,7.48,30,2.4,7.85,1,129,0.24,0.6,0.6,0,0.022,0.04,0.002,1,1,
Tilcon Connecticut,,52,,576,2951,N,Farmington 001,6/26/97,0.65,6,6/18/97,5.81,8,31.2,9.24,41,960,0.14,2,0.6,0,0.051,0.154,0.023,1,1,
Tilcon Connecticut,,52,,576,2951,N,Farmington 002,6/26/97,0.65,6,6/18/97,5.81,8,30.4,9.62,100,1780,0.14,2,0.5,"1,220",0.074,0.315,0.04,1,1,
Tilcon Connecticut,,52,,576,2951,N,Farmington 003,6/26/97,0.65,6,6/18/97,5.81,8,2.8,6.96,8,22,0.05,1.3,0.9,330,0.01,0.022,0.002,1,1,
Tilcon Connecticut,,62,,569,2951,N,Hamden 001,8/13/97,0.45,4.5,8/5/97,4.39,8,23.2,6.79,294,1084,2.07,3,2.5,540,0.039,0.52,0.018,1,1,
Tilcon Connecticut,,109,,580,1442,N,Wauregan 001,8/13/97,0.75,4.5,8/5/97,7,8,2,7.35,7,6,0.05,0.6,0.1,80,0.013,0.016,0.002,1,1,
Tilcon Connecticut,,109,,580,1442,N,Wauregan 001C1,8/13/97,0.75,4.5,8/5/97,7,8,9.2,7.71,89,5962,2.4,2,1.4,"2,010",0.103,0.26,0.033,1,1,
Tilcon Connecticut,,109,,580,1442,N,Wauregan 001C2,8/13/97,0.75,4.5,8/5/97,7,8,3.6,7.78,15,758,0.31,0.9,0.4,20,0.02,0.108,0.008,1,1,
Tilcon Connecticut,,141,,582,2951,N,Wilsonville 002,8/13/97,0.6,4.5,8/5/97,7,8,2.4,6.17,7,238,0.47,1.2,0.5,200,0.027,0.066,0.007,1,1,
Tilcon Connecticut,,141,,582,2951,N,Wilsonville 003,8/13/97,0.6,4.5,8/5/97,7,8,2.8,7.46,7,2,0.12,0.8,0.1,0,0.014,0.026,0.002,1,1,
Tilcon Connecticut,,101,,578,2951,N,North Haven 001,8/13/97,0.5,4,8/5/97,4.3,8,14.8,5.58,30,386,0.57,3.6,2.3,190,0.047,0.082,0.014,1,1,
Tilcon Connecticut,,151,,574,2951,N,Waterbury,8/13/97,0.55,4.5,8/5/97,5.87,8,7.6,7.32,106,475,0.54,2,1.5,0,0.027,0.166,0.011,1,1,
Tilcon Connecticut,,113,,584,2951,N,Portland 001,8/13/97,0.6,4.5,8/5/97,4.23,8,11.6,6.1,106,11,0.05,0.9,1.5,120,0.023,0.06,0.003,1,1,
Tilcon Connecticut,,93,,570,4463,N,New Haven-Buchanan Marine,8/13/97,0.55,3.5,8/5/97,4.87,8,13.2,5.7,71,40,0.24,2.4,1.5,0,0.042,0.229,0.013,1,1,
Turner & Seymour Mfg,Forge River,143,,317,3496,N,DSN 004,9/11/97,1.55,8,8/31/97,3.3,11,0.5,5.78,27,4,0.23,1.78,0.4,60,0.031,0.432,0.005,0.74,0.68,
Turner & Seymour Mfg,Forge River,143,,317,3496,N,DSN 007,9/11/97,1.55,8,8/31/97,3.3,11,0.5,4.66,73,6,0.07,0.96,1,430,0.062,0.95,0.027,1,0.71,
Turner & Seymour Mfg,Forge River,143,,317,3496,N,DSN 008,9/11/97,1.55,8,8/31/97,3.3,11,0.5,5.69,107,76,0.33,0.92,0.5,280,0.039,0.239,0.01,1,0.78,
Lender's Bagel Bakery,Cove River,156,,711,2051,N,Post1(2),9/11/97,0.24,2.5,8/29/97,5.87,13,3.6,6.74,98,40,0.3,2.2,1,240,0.027,0.176,0.012,1,1,
Lender's Bagel Bakery,Quinnipiac River,93,,710,2051,N,LD-1,9/11/97,0.24,1.5,9/3/97,7.27,8,10.4,6.36,71,34,0.37,3,1.2,0,0.052,4.189,0.036,0.3,0.13,
Lender's Bagel Bakery,Quinnipiac River,93,,710,2051,N,T-1,9/11/97,0.24,1.5,9/3/97,7.27,8,2.4,6.77,71,34,0.16,2.2,0.7,700,0.675,1.5,0.022,1,1,
New Penn Motor Express,Quinnipiac River,131,,674,423,Y,Holding Pond,8/28/97,0.5,4,,5.1,,1,7.4,2,3,0.38,0.5,2,"4,400",0.005,0.02,0.001,1,1,
Citgo Petroleum Corp,Connecticut River,119,,150,5171,Y,,8/13/97,0.5,4,8/9/97,5.1,4,5,6,60,19,0.14,1.64,1.4,"3,700",0.03,0.51,0.03,1,0.96,
Eagle-Picher Automotive Group,Johnson Creek,138,,429,3069,N,EGP-1,9/11/97,0.2,2,9/3/97,5.4,8,4.8,4.13,118,15,0.05,4.3,4.2,15,0.037,1.123,0.012,0.74,0.66,
Homer D Bronson Co,Still River,162,,827,3499,N,SD in rear pkng lot,9/11/97,1.55,23,9/7/97,6,4,3.6,6,102,194,0.33,2.4,2.1,0,0.11,0.72,0.04,1,0.74,
FM Precision Golf,Naugatuck River,143,,480,3949,N,GSW-1,9/11/97,1.01,4.5,9/7/97,4.05,4,7,6.7,47,11,0.27,1.5,1.3,"11,600",0.03,0.19,0.01,0.74,0.33,
Chandler Evans,Trout Brook,155,3724,391,3724,N,Storm sewer outfall,8/28/97,0.75,30,8/23/97,6.9,5,0.5,6.91,16,8,0.28,3.53,1.1,"2,400",0.031,0.164,0.09,0.78,0.51,
Westbrook Concrete Block,Cold Spring Brook,154,,666,3271,N,1A,9/3/97,0.2,1,8/21/97,8,13,1,9.2,220,760,0.74,2.7,2.3,0,0.045,0.22,0.05,1,1,
Westbrook Concrete Block,Cold Spring Brook,154,,666,3271,N,2A,9/3/97,0.2,1,8/21/97,8,13,1,7,56,45,0.16,0.75,2.8,0,0.024,0.25,0.05,1,1,
Westbrook Concrete Block,Cold Spring Brook,154,,666,3271,N,3A,9/3/97,0.2,1,8/21/97,8,13,1,6.4,31,27,0.14,2.9,2.9,0,0.024,0.99,0.05,1,0.47,
Sprague Energy-Stamford Term,Stamford Harbor,135,,449,5171,N,Outfall #1,8/28/97,0.19,4,8/21/97,3.9,7,5,7.6,58,321,0.01,2.27,2.9,70,0.12,0.19,0.11,1,1,
American Electro Products,Naugatuck River,151,,464,3471,N,Outfall 001,8/13/97,1,12,8/5/97,6,8,5,4.9,51,31,0.28,2.02,1.6,900,0.15,0.22,0.03,0.54,0.2,
Eyelets for Industry,Naugatuck River,140,,413,3469,N,,9/11/97,0.2,24,8/29/97,6.42,13,2.8,6.49,15,3,0.09,1.4,0.3,540,0.02,0.063,0.004,1,1,
Torrington Transfer Station,East Branch Naugatuck,143,6905,521,4953,Y,DSN 002,6/27/97,1.06,2,6/18/97,4.37,9,8,6.4,120,146,4.31,5.9,0,"10,000",0.06,0.22,0.08,1,0.71,
Torrington Transfer Station,East Branch Naugatuck,143,6905,521,4953,Y,DSN 001,6/27/97,1.06,2,6/18/97,4.37,9,8,6.5,50,152,4.13,3.6,0.2,"10,000",0.05,0.17,0.03,1,1,
Preston Engravers,Connecticut River,47,,893,3471,N,2,8/13/97,1.25,5,8/5/97,5.4,8,5,6.7,6,7,0.19,7.7,1.3,150,0.054,0.081,0.01,1,1,
Preston Engravers,Connecticut River,47,,893,3471,N,1,8/13/97,1.25,5,8/5/97,5.4,8,5,4.1,76,34,0.01,1.7,2.4,150,0.046,0.237,0.007,0.78,0.69,
Barbour Threads,Still River,162,,169,2390,N,SD culvert,9/11/97,0.25,2.5,9/8/97,6,3,0.2,5.87,30,3,0.08,0.9,0.7,"10,000",0.02,0.11,0.005,0.86,0.74,
O-Z Gedney,Pequabuck River,111,,378,3322,N,001 Grinding Room,9/11/97,0.15,3,9/5/97,6,6,1,4.9,62,16,0.11,3.1,2,10,0.02,0.24,0.01,1,0.76,
O-Z Gedney,Pequabuck River,111,,378,3322,N,002A Foundry,9/11/97,0.15,3,9/5/97,6,6,1,4.4,54,4,0.14,3.4,1.5,40,0.05,2.4,0.01,0.5,0.25,
O-Z Gedney,Pequabuck River,111,,378,3322,N,004A West End,9/11/97,0.15,3,9/5/97,6,6,1,6.8,49,28,0.6,4.2,1.8,"8,100",0.03,0.17,0.01,1,1,
Mikon Products,wetlands to Eight Mile Brook,108,,300,3479,Y,,8/20/97,0.63,11,8/18/97,5.5,2,5,5.5,5,3,0.02,0.17,0.1,10,0.01,0.12,0.03,1,0.74,
Ross & Roberts,Tanners Brook,138,,258,3081,N,Outfall 001,8/28/97,0.1,8,,4,,1,6.56,161,35,0.33,1.7,0,"11,000",0.01,0.22,0.01,1,0.63,
Reflexite Corp,,89,,702,3089,N,CB#4 B,7/24/97,0.5,4,7/21/97,6.35,3,14,7.8,64,4,0.1,0.56,1.2,20,0.05,0.04,0.002,1,1,
Reflexite Corp,,89,,702,3089,N,CB#5 C,7/24/97,0.5,4,7/21/97,6.35,3,10,7.5,351,6,0.45,0.84,0.8,40,0.05,0.22,0.001,1,1,
Reflexite Corp,,89,,702,3089,N,CB#6 D,7/24/97,0.5,4,7/21/97,6.35,3,13,2.7,96,1,0.1,2,1,10,0.05,0.02,0.004,1,1,
Reflexite Corp,,89,,702,3089,N,CB#7 E,7/24/97,0.5,4,7/21/97,6.35,3,11,7.1,48,15,0.1,2,1.6,10,0.05,0.01,0.011,1,1,
Reflexite Corp,,89,,702,3089,N,CB#8 F,7/24/97,0.5,4,7/21/97,6.35,3,39,6.5,143,7,0.13,1.1,1.6,40,0.05,0.05,0.005,0.34,0.18,
Uniroyal Chemical,Naugatuck River,88,,864,2869,N,Outfall #1,6/2/97,0.35,,5/25/97,4.8,8,2,5.3,60,53,0.16,1.68,0.7,1,0.03,0.14,0.01,1,0.69,
Uniroyal Chemical,Naugatuck River,88,,864,2869,N,Outfall #2,6/2/97,0.35,,5/25/97,4.8,8,1,6,47,11,0.16,1.82,0.9,"60,000",0.05,0.14,0.01,1,0.79,
Uniroyal Chemical,Naugatuck River,88,,864,2869,N,Outfall #3,6/2/97,0.35,,5/25/97,4.8,8,1,6.5,23,14,0.14,0.98,0.5,"3,300",0.01,0.06,0.01,1,1,
Mikon Pdts,wetlands to trib of Eightmile River,108,,145,3478,N,1,6/18/97,1.26,2,6/13/97,5.5,5,5,5.5,29,7,0.16,1.46,1.5,"2,200",0.01,0.91,0.03,1,0.35,
Ansonia Copper & Brass,Naugatuck River,2,,530,3351,N,Outfall 001,6/13/97,,,6/2/97,6.1,11,13,5.7,52,90,0.2,0.79,1.8,100,3.3,2.4,0.25,0.06,0.06,
FLEXcon Company,Cedar Pond,99,,693,3081,N,Outfall #1,5/6/97,0.3,5,5/3/97,6.3,3,5,6.3,34,38,0.16,2.07,1,10,0.01,0.19,0.03,1,1,
Armoloy of Connecticut,Eightmile River,17,,273,3471,N,Outfall 001,6/2/97,0.2,5,5/25/97,7,8,,4.2,450,450,0.52,6.3,0.4,140,0.02,0.08,,0.68,0.57,
Aetna/Cigna Flight Operations,Stony Brook,165,,171,4537,N,CB-4,11/8/96,0.63,24,10/28/96,6.22,11,0.7,6.22,10,50,5.6,1.33,0.4,0,0.005,0.99,0.005,1,0.5,
Pratt & Whitney,Connecticut River,83,,126,3724,N,D004,8/28/97,0.38,2.3,8/21/97,5.4,7,5,6.7,96,24,0.19,2.2,1.9,"1,600",0.044,0.047,0.035,1,0.5,
Pratt & Whitney,Connecticut River,83,,126,3724,N,D009,8/28/97,0.38,2.3,8/21/97,5.4,7,5,5.7,99,158,0.05,2.2,0.8,105,0.04,0.067,0.006,1,1,
Pratt & Whitney,Connecticut River,83,,126,3724,N,D011,8/28/97,0.38,2.3,8/21/97,5.4,7,5,7.8,20,72,0.09,1,0.5,300,0.04,0.05,0.005,1,1,
Circuit-Wise,Quinnipiac River,101,,668,3672,N,DSG 1,9/11/97,0.12,3,8/28/97,5.64,14,30.4,7.04,157,10,0.15,6.8,0.9,0,0.193,0.26,0.042,1,0.06,
Circuit-Wise,Quinnipiac River,101,,668,3672,N,DSG 2,9/11/97,0.12,3,8/28/97,5.64,14,4.8,6.83,35,7,0.09,1.6,1.4,465,0.019,0.042,0.006,0.27,0.23,
Risdon & Fabricated Metal Pdts,,88,,699&299,3469,N,S1A,9/11/97,0.15,3,8/29/97,8,13,1,4.75,90,68,0.17,2.1,2.1,100,0.01,0.01,0.1,1,1,
Risdon & Fabricated Metal Pdts,,88,,699&299,3469,N,S1B,9/11/97,0.15,3,8/29/97,6.6,13,1,6.6,59,31,0.07,2.1,2.1,"11,900",0.03,0.37,0.01,0.79,0.38,
Risdon & Fabricated Metal Pdts,,88,,699&299,3469,N,S2,9/11/97,0.15,3,8/29/97,4.75,13,1,8,19,11,0.05,0.8,1.6,"4,500",0.01,0.85,0.02,0.66,0.27,
Risdon & Fabricated Metal Pdts,,88,,699&299,3469,N,S3,9/11/97,0.15,3,8/29/97,4.89,13,1,4.89,786,140,0.05,17.1,1.4,900,0.11,0.21,0.07,0.39,0.34,
Supreme Lake Mfg,Quinnipiac River,131,,315,3451,N,2,8/28/97,0.51,9,8/21/97,5.5,7,5,4.6,8,1,0.01,0.23,0.1,10,0.01,0.03,0.03,0.68,0.68,
Supreme Lake Mfg,Quinnipiac River,131,,315,3451,N,5,8/28/97,0.51,9,8/21/97,5.5,7,5,4,15,1,0.01,0.34,0.1,10,0.01,0.03,0.03,0.68,0.68,
Curtis Corp,Curtis Brook,97,,612,2651,N,,9/11/97,0.22,6,9/7/97,5.16,4,2,4.61,39,1,0.02,1.63,0.6,0,0.018,1.22,0.04,0.54,0.25,
Merrow Machine Co,Piper Brook,94,,831,3636,N,DSN002,8/21/97,,10.5,,6.9,,5,7.3,20,2,0.04,1,0.5,"4,600",0.04,0.05,0.005,1,1,
New Haven Mfg,West River,93,,1033,3494,N,Drainage Structure,9/11/97,0.22,12,9/4/97,6.62,7,2,6.62,57,36,0.12,2.1,1.3,300,0.13,0.53,0.1,0.15,0.06,
Miller Company,Harbor Brook,80,,344,3351,N,2 South,8/12/97,0.13,1.3,8/5/97,6.7,7,11.2,6.71,143,48,3.46,3,2.3,470,0.426,0.96,1.311,0.13,0.11,
Miller Company,Harbor Brook,80,,344,3351,N,1 North,8/12/97,0.13,1.3,8/5/97,6.7,7,14.4,5.67,128,27,0.2,2.8,2.4,5,3.642,3.175,0.038,0.06,0.06,
Hershey Chocolate/Peter Paul,Naugatuck River,88,,1103,2064,N,Outfall #002,8/28/97,0.3,3,8/20/97,6.3,8,1,3.76,61,35,0.07,1.82,1.2,400,0.04,0.4,0.02,0.5,0.33,
Capewell Horsenails Inc,,11,,367,3490,N,#2 Dumpsters,8/28/97,,,8/20/97,3.9,8,1,3.8,2,4,0.13,2.59,0.9,100,0.005,0.03,0.001,0.71,0.62,
Capewell Horsenails Inc,,11,,367,3490,N,#1 Loading Dock,8/28/97,,,8/20/97,3.9,8,1,3.9,2,2,0.23,2.07,0.7,100,0.005,0.02,0.002,0.66,0.57,
Trident International,Housatonic River,18,,1061,3679,N,Tri-001,9/11/97,0.24,0.3,9/3/97,6.74,8,8.8,7.64,100,191,0.69,3.2,0.3,50,0.027,0.131,0.012,1,1,
Ato Haas Americas,unnamed pond,7,,927,3081,N,001-Shipping,8/13/97,0.3,2,8/10/97,6.3,3,5,6.3,84,14,0.07,1,0.5,"1,600",0.04,0.093,0.005,1,1,
Ato Haas Americas,unnamed pond,7,,927,3081,N,002-Rear Lot,8/13/97,0.3,2,8/10/97,7.4,3,5,7.4,20,2,0.05,1,0.5,"9,000",0.04,0.063,0.005,0.06,0.06,
Dow Chemical Allyn's Point,Thames River,72,,305,2821,N,G001,9/3/97,0.1,0.8,8/22/97,3.9,12,1,4.8,67,22,0.11,1.8,1.4,10,0.024,0.31,0.015,0.69,0.69,
Dow Chemical Allyn's Point,Thames River,72,,305,2821,N,4,9/3/97,0.1,0.8,8/22/97,3.9,12,1,5.2,180,180,0.2,2.2,1.5,10,0.049,0.56,0.019,1,0.71,
Dow Chemical Allyn's Point,Thames River,72,,305,2821,N,5,9/3/97,0.1,0.8,8/22/97,3.9,12,1,4.3,140,29,0.96,2,1.4,10,0.068,0.55,0.022,0.67,0.62,
Dow Chemical Allyn's Point,Thames River,72,,305,2821,N,7,9/3/97,0.1,0.8,8/22/97,3.9,12,1,7.3,90,14,0.13,2.2,,10,0.024,0.32,0.011,1,1,
Dow Chemical Allyn's Point,Thames River,72,,305,2821,N,16,9/3/97,0.1,0.8,8/22/97,3.9,12,1,4.2,80,63,0.11,2.1,1.2,10,0.035,0.4,0.006,0.62,0.62,
Casco Products Corp,West Branch Roadway Brook,15,,360,3714,N,Outfall #1,8/13/97,0.14,4,8/5/97,4.07,8,22.5,4.07,100,70,0.21,3.6,3,10,0.07,0.56,0.05,0.71,0.57,
Olin Research Center,Tenmile River,25,,924,8731,N,North end of property,7/15/97,0.75,1.5,7/10/97,3.9,5,1,3.87,29,6,0.05,0.7,1.2,"8,800",0.01,0.12,0.02,0.71,0.71,
Comasac Safety,Storm sewer,49,,320,3069,N,end of culvert pipe,8/28/97,0.31,,8/23/97,6.8,5,1,6.8,11,6,0.19,1.12,1.1,2,0.01,0.23,0.02,1,0.76,
Essex Transfer Station,Falls River,50,,595,4953,Y,DSN002,5/30/97,,,5/25/97,6.4,5,1,6.7,14,2,0.05,2.8,0,136,0.01,0.01,0.01,1,1,
Essex Transfer Station,Falls River,50,,595,4953,Y,DSN001,5/30/97,,,5/25/97,6.4,5,245,6.7,13,4,0.02,2.96,0,100,0.01,0.01,0.01,1,1,
CT Army National Guard(OMS8A),,64,,284,7538,Y,CB-1 east,8/28/97,0.3,2,8/22/97,4.8,6,1,4.1,10,10,0.07,1.4,0.8,130,0.02,0.08,0.02,1,1,
CT Army National Guard(OMS8A),,64,,284,7538,Y,CB-2 southwest,8/28/97,0.3,2,8/22/97,4.8,6,1,6,12,28,0.23,0.84,0.8,"1,300",0.01,0.05,0.01,1,0.57,
Sikorsky Aircraft,Cedar Creek,15,,772,3728,N,Bridgeport 1-001,7/7/97,0.74,2,7/3/97,4.67,4,3.6,4.36,83,292,0.07,2.6,1.9,5,0.039,0.152,0.038,1,0.89,
Sikorsky Aircraft,Cedar Creek,15,,772,3728,N,Bridgeport 1-003,7/7/97,0.74,2,7/3/97,4.02,4,2.4,5.96,26,93,0.11,2.2,0.8,0,0.028,0.306,0.046,1,1,
Sikorsky Aircraft,Cedar Creek,15,,772,3728,N,Bridgeport 1-005,7/7/97,0.74,2,7/3/97,4.67,4,1.6,5.63,15,12,0.05,1.4,0.5,20,0.016,0.056,0.007,1,1,
Sikorsky Aircraft,Sewer,15,,771,3728,N,Bridgeport 2-003,7/7/97,0.74,2,7/3/97,6.41,4,2,6.85,29,23,0.08,1.9,1,90,0.028,0.597,0.058,1,1,
Sikorsky Aircraft,Sewer,15,,771,3728,N,Bridgeport 2-001,7/7/97,0.74,2,7/3/97,6.41,4,2.4,7.11,26,12,0.43,1.4,0.4,300,0.016,0.253,0.003,1,1,
Sikorsky Aircraft,trib to Bruce Brook,138,,766,3728,N,Meyers 003,7/7/97,0.74,2,7/3/97,4.27,4,4.4,4.89,81,56,0.14,3.4,1.9,0,5.393,0.979,0.077,0.06,0.06,
Sikorsky Aircraft,trib to Bruce Brook,138,,766,3728,N,Meyers 001,7/7/97,0.74,2,7/3/97,4.27,4,3.2,4.54,242,372,0.19,7.6,2.1,70,0.043,0.386,0.04,1,1,
Sikorsky Aircraft,Housatonic River,138,,767,3728,N,Airport 001,7/7/97,0.74,2,7/3/97,4.27,4,2,5.75,11,5,0.05,1.1,0.3,5,0.009,0.203,0.016,1,0.72,
Sikorsky Aircraft,trib to Housatonic River,138,,768,3728,N,Stratford 010,7/7/97,0.74,2,7/3/97,4.27,4,4.8,4.71,86,139,0.06,2.2,1.3,100,0.046,0.34,0.02,1,1,
Anamet Industrial ,Naugatuck River,151,,456,3499,N,D001,8/28/97,0.4,2,8/21/97,6.81,7,1,5.16,17,24,0.1,2.5,0.4,500,0.08,0.04,0.013,0.12,0.07,
Anamet Industrial ,Naugatuck River,151,,456,3499,N,D003,8/28/97,0.4,2,8/21/97,6.81,7,1,6.13,19,25,0.1,1.9,0.8,200,0.31,0.09,0.013,0.15,0.08,
Anamet Industrial ,Naugatuck River,151,,456,3499,N,D004,8/28/97,0.4,2,8/21/97,6.81,7,1.8,6.91,5,15,0.1,1.9,0.5,100,0.05,0.05,0.013,1,1,
Anamet Industrial ,Naugatuck River,151,,456,3499,N,D005,8/28/97,0.4,2,8/21/97,6.81,7,1,5.16,15,11,0.1,1.5,0.6,"24,000",0.05,0.07,0.013,0.34,0.12,
Normag Inc,Bruce Pond,15,,747,3612,N,Outfall 001,9/11/97,0.12,7.8,8/17/97,5.9,25,5,5.9,45,52,0.16,1.3,0.5,"3,200",0.02,0.21,0.03,1,1,
